LC_Class_I blue_0 blue_1 blue_2 blue_3 blue_4 blue_5 red_0 red_1 red_2 red_3 red_4 red_5 red_edge_2_0 red_edge_2_1 red_edge_2_2 red_edge_2_3 red_edge_2_4 red_edge_2_5 nir_1_0 nir_1_1 nir_1_2 nir_1_3 nir_1_4 nir_1_5 swir_1_0 swir_1_1 swir_1_2 swir_1_3 swir_1_4 swir_1_5 swir_2_0 swir_2_1 swir_2_2 swir_2_3 swir_2_4 swir_2_5 NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5
6.0 1200.2667236328125 1488.0 378.3337097167969 475.5982360839844 1855.483154296875 1253.856689453125 1281.4591064453125 1638.0 316.4261474609375 532.703125 2050.885986328125 1492.4400634765625 1215.9451904296875 1602.0 348.0000305175781 469.4781188964844 2120.5380859375 1615.8369140625 1239.92333984375 1642.0001220703125 341.51519775390625 512.66259765625 1949.994384765625 1270.635009765625 519.5574340820312 537.0001220703125 478.8141784667969 576.8081665039062 867.0050659179688 893.5799560546875 362.0283508300781 336.0000915527344 355.2606506347656 486.2184753417969 653.273681640625 659.405517578125 -0.012561389245092869 0.0012195404851809144 0.09238269180059433 -0.0015829741023480892 -0.023093674331903458 -0.0909886509180069
6.0 259.9658203125 39.51036834716797 32.23508834838867 16.02813720703125 186.86190795898438 569.004638671875 217.19239807128906 18.586856842041016 36.94524383544922 10.795454025268555 135.4998016357422 516.9993896484375 416.96588134765625 6.441995143890381 5.085136413574219 5.2204694747924805 92.47019958496094 383.9999694824219 381.6560974121094 7.486714839935303 7.897424697875977 5.337172985076904 78.14922332763672 384.0057678222656 413.8747863769531 72.59165954589844 90.1361312866211 117.43535614013672 196.9982147216797 516.9974365234375 253.06497192382812 73.2457046508789 85.71782684326172 115.01505279541016 167.91661071777344 429.9996032714844 0.06865400075912476 -0.463515043258667 -0.5821202993392944 -0.2130046933889389 -0.42344948649406433 -0.14761218428611755
6.0 236.1309051513672 40.74287414550781 188.2224884033203 146.72315979003906 127.52812194824219 449.0649108886719 221.32669067382812 91.28241729736328 223.27593994140625 160.863525390625 140.55116271972656 549.8585205078125 273.9213562011719 5.32936429977417 77.67761993408203 39.352108001708984 81.76617431640625 215.09796142578125 156.37310791015625 18.04097557067871 63.74597930908203 40.28968048095703 60.356990814208984 182.7577362060547 271.4939270019531 70.4323959350586 101.0988998413086 114.1313247680664 120.78888702392578 158.31658935546875 276.0 74.88179016113281 98.38188171386719 121.17525482177734 116.86380004882812 162.19908142089844 -0.30879247188568115 -0.6543083190917969 -0.6361388564109802 -0.6495155692100525 -0.5159260630607605 -0.4683859646320343
6.0 225.1358642578125 5.446470737457275 21.893264770507812 34.3649787902832 49.40479278564453 57.927547454833984 194.67286682128906 9.809244155883789 53.449462890625 118.88237762451172 117.98684692382812 104.35453033447266 269.6883850097656 15.440427780151367 118.17039489746094 150.89405822753906 199.89114379882812 237.57395935058594 321.82684326171875 40.429420471191406 154.4430389404297 238.68099975585938 257.61041259765625 284.14178466796875 383.6867370605469 160.59982299804688 249.05442810058594 364.4106140136719 322.1457824707031 296.0972900390625 267.9076232910156 105.40532684326172 151.4129180908203 249.70556640625 231.15634155273438 219.79356384277344 0.07498683035373688 0.39378511905670166 0.5721264481544495 0.35510340332984924 0.38004055619239807 0.454579621553421
6.0 236.63986206054688 215.09486389160156 62.32532501220703 115.58883666992188 163.43429565429688 145.99998474121094 205.28005981445312 280.50042724609375 93.48233795166016 160.0590057373047 179.63291931152344 103.0 188.00135803222656 306.2064208984375 121.98728942871094 470.8680114746094 406.1058044433594 310.0 192.59828186035156 210.68646240234375 104.20181274414062 274.76080322265625 288.0433654785156 281.9999694824219 111.22904205322266 129.47604370117188 100.4085922241211 146.8414764404297 149.20590209960938 178.0 98.26908874511719 107.63555145263672 94.47464752197266 136.6317596435547 132.17625427246094 144.0 -0.04013895243406296 -0.08527614921331406 0.1324230283498764 0.3018476366996765 0.26186603307724 0.4649350941181183
6.0 238.3568115234375 159.396240234375 75.09078979492188 62.1322135925293 199.63284301757812 115.77920532226562 169.4990997314453 177.84979248046875 84.38641357421875 95.01123809814453 199.3443145751953 140.2167205810547 240.6590576171875 259.51239013671875 127.81599426269531 346.439208984375 391.96978759765625 217.0156707763672 199.8075408935547 189.8484344482422 103.12306213378906 220.6312713623047 287.6315612792969 180.35342407226562 108.53599548339844 109.3515396118164 124.47896575927734 157.7013397216797 207.6213836669922 229.9106903076172 72.31684112548828 97.5898208618164 104.20993041992188 146.7974395751953 192.27334594726562 207.40899658203125 0.0883658304810524 0.04062226042151451 0.08478660136461258 0.4216890335083008 0.24035261571407318 0.03679017350077629
6.0 196.3435821533203 76.25957489013672 121.453857421875 128.0 104.73139190673828 97.4961929321289 248.87200927734375 121.49654388427734 150.5522918701172 158.00003051757812 112.65560150146484 148.84661865234375 369.31976318359375 242.1280517578125 190.34927368164062 130.99998474121094 133.00448608398438 179.3272705078125 368.7591552734375 196.6654510498047 195.30230712890625 158.0 120.07320404052734 153.9174041748047 428.00897216796875 326.14666748046875 296.4645690917969 237.0000762939453 267.4912414550781 329.96734619140625 284.9710998535156 202.62887573242188 184.08245849609375 185.00003051757812 210.9942626953125 245.58297729492188 0.15328671038150787 0.24074193835258484 0.11492126435041428 -1.0427922347844287e-07 0.03250647708773613 0.04881228134036064
6.0 909.8297119140625 42.82468795776367 201.0966339111328 195.4335174560547 260.8865661621094 200.14768981933594 936.6345825195312 200.2095489501953 367.4091491699219 363.1661682128906 379.6603698730469 360.41986083984375 1107.943115234375 160.3191375732422 293.04937744140625 273.53179931640625 267.5502624511719 234.060546875 1277.7376708984375 163.02059936523438 302.6351623535156 258.3030700683594 271.89990234375 249.3323516845703 1141.716064453125 275.97064208984375 409.9958801269531 504.4611511230469 492.8256530761719 457.80694580078125 1010.71142578125 179.32257080078125 286.239501953125 354.10870361328125 371.5684814453125 346.43939208984375 0.0987168699502945 -0.11543701589107513 -0.16666169464588165 -0.18249624967575073 -0.18179528415203094 -0.2088010609149933
6.0 292.7933654785156 213.82664489746094 504.756103515625 250.9334716796875 374.6954040527344 192.3655242919922 213.6619110107422 298.64495849609375 657.3832397460938 285.39874267578125 364.864990234375 157.77157592773438 437.6439514160156 339.773193359375 771.2365112304688 377.22308349609375 707.26611328125 307.1156921386719 305.6167907714844 288.4988098144531 549.711181640625 296.9956359863281 494.39215087890625 214.91200256347656 93.0838851928711 118.46549224853516 111.04021453857422 124.7625503540039 206.80299377441406 219.0944061279297 64.96529388427734 102.21965789794922 94.47338104248047 131.68734741210938 186.70152282714844 196.15769958496094 0.23396016657352448 -0.002460980322211981 -0.0821664035320282 0.021277153864502907 0.15846364200115204 0.17425742745399475
6.0 175.9527130126953 86.4443359375 246.00149536132812 448.3565979003906 730.9475708007812 299.058349609375 136.27105712890625 251.07064819335938 758.0008544921875 1199.4761962890625 1399.365966796875 479.41302490234375 778.9595336914062 1832.8345947265625 1826.00048828125 1706.7401123046875 1818.6806640625 1180.9263916015625 859.8019409179688 2108.901123046875 2341.99755859375 2252.0791015625 2275.4296875 1443.011474609375 481.63848876953125 1093.3438720703125 2007.00146484375 3023.909423828125 3718.649169921875 1813.700439453125 281.0096740722656 607.671875 1213.0030517578125 2060.229736328125 2716.044921875 1340.245361328125 0.7326237559318542 0.7933589816093445 0.5109671354293823 0.3053337633609772 0.24218928813934326 0.5269234776496887
6.0 503.16680908203125 54.136199951171875 94.74964141845703 57.41446304321289 68.2513427734375 452.66943359375 695.3388061523438 132.7196044921875 141.4667510986328 140.32611083984375 110.87381744384766 567.0441284179688 1311.274658203125 155.67733764648438 174.05374145507812 178.21519470214844 169.22340393066406 604.5308837890625 1209.09326171875 123.08362579345703 149.2767791748047 128.4490509033203 115.24077606201172 632.0357055664062 693.7697143554688 247.0988311767578 327.87799072265625 389.9153747558594 328.2933349609375 698.712890625 441.1850891113281 169.2392578125 231.94906616210938 296.8858337402344 277.1103820800781 520.0947875976562 0.28762948513031006 0.0272414181381464 0.037152037024497986 -0.03789777308702469 0.09605737775564194 0.030462440103292465
6.0 973.2699584960938 663.926513671875 740.0676879882812 919.6956787109375 1002.780029296875 1021.2599487304688 1506.022705078125 1014.0804443359375 1219.1859130859375 1717.7548828125 1821.9940185546875 1914.6668701171875 926.1533203125 495.3680725097656 995.0322875976562 1004.47216796875 1373.4718017578125 1266.0859375 753.174072265625 376.046142578125 778.2562255859375 780.072509765625 1181.866943359375 1052.3587646484375 271.8688659667969 187.58584594726562 218.7955780029297 238.47482299804688 292.422607421875 333.5180358886719 215.59524536132812 159.58506774902344 196.50881958007812 223.20582580566406 253.47705078125 307.0014953613281 -0.341289758682251 -0.46417438983917236 -0.2184544801712036 -0.3764563202857971 -0.21363747119903564 -0.29530566930770874
6.0 650.03271484375 576.5426635742188 480.2827453613281 509.2117919921875 529.2396850585938 722.994140625 1167.474609375 1097.81298828125 739.8046875 927.912841796875 1104.7242431640625 1451.6136474609375 705.049072265625 734.9713134765625 354.5799865722656 688.28857421875 758.2408447265625 1386.6563720703125 653.4734497070312 704.948486328125 312.7882080078125 629.1878662109375 685.5369262695312 1343.2939453125 152.23458862304688 240.49209594726562 274.9985046386719 401.5998229980469 465.487548828125 284.34039306640625 84.19288635253906 149.31541442871094 186.63589477539062 255.19857788085938 325.4890441894531 210.8578338623047 -0.2891279458999634 -0.2417338788509369 -0.4031042754650116 -0.19137826561927795 -0.26042965054512024 -0.039368636906147
