LC_Class_I blue_0 blue_1 blue_2 blue_3 blue_4 blue_5 green_0 green_1 green_2 green_3 green_4 green_5 red_0 red_1 red_2 red_3 red_4 red_5 red_edge_1_0 red_edge_1_1 red_edge_1_2 red_edge_1_3 red_edge_1_4 red_edge_1_5 red_edge_2_0 red_edge_2_1 red_edge_2_2 red_edge_2_3 red_edge_2_4 red_edge_2_5 red_edge_3_0 red_edge_3_1 red_edge_3_2 red_edge_3_3 red_edge_3_4 red_edge_3_5 nir_1_0 nir_1_1 nir_1_2 nir_1_3 nir_1_4 nir_1_5 nir_2_0 nir_2_1 nir_2_2 nir_2_3 nir_2_4 nir_2_5 swir_1_0 swir_1_1 swir_1_2 swir_1_3 swir_1_4 swir_1_5 swir_2_0 swir_2_1 swir_2_2 swir_2_3 swir_2_4 swir_2_5 NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5 x_coord y_coord
6.0 996.9279174804688 923.6627197265625 852.5357666015625 878.9061279296875 1071.25244140625 1374.965576171875 1347.02734375 1291.3779296875 1205.546875 1269.4027099609375 1449.364501953125 1833.8092041015625 1495.9295654296875 1626.806396484375 1592.6993408203125 1687.11767578125 1873.0938720703125 2304.244873046875 1640.9521484375 1849.0137939453125 1772.0909423828125 1840.7401123046875 2106.02685546875 2662.419189453125 1275.8060302734375 1972.6123046875 1874.3267822265625 1936.8526611328125 2229.691162109375 2858.982666015625 1357.0166015625 2089.49658203125 1984.2457275390625 2064.929931640625 2372.404052734375 3034.88330078125 1201.7044677734375 2171.370849609375 2098.678955078125 2235.133056640625 2483.88427734375 3116.63427734375 1061.708251953125 2244.468017578125 2157.005859375 2245.72802734375 2541.49072265625 3281.023681640625 228.9557342529297 2551.869140625 2625.3486328125 2726.2216796875 3006.71875 3632.51220703125 168.73622131347656 2254.58447265625 2407.048828125 2502.808837890625 2716.2216796875 3297.458984375 -0.11366213113069534 0.14338873326778412 0.1371764987707138 0.1399054378271103 0.14058488607406616 0.15169665217399597 515515.0 6717685.0
6.0 1376.310302734375 1445.8372802734375 1422.828125 1370.85107421875 1399.51904296875 1344.058837890625 2144.48583984375 2271.3203125 2237.612060546875 2159.289306640625 2107.25341796875 2064.85986328125 2679.78369140625 2829.98388671875 2704.089599609375 2587.953125 2676.25439453125 2666.64990234375 2939.267822265625 3093.52783203125 2921.80029296875 2807.72607421875 2960.69580078125 2997.09326171875 2273.366455078125 2558.33984375 2368.957763671875 2300.789306640625 2762.098876953125 2773.885009765625 2368.3515625 2587.2978515625 2330.699462890625 2247.660400390625 2857.876953125 2897.516845703125 2090.18017578125 2325.510009765625 2076.782958984375 2061.787353515625 2735.046630859375 2744.6845703125 1731.908447265625 2002.220703125 1729.31494140625 1696.5767822265625 2496.27490234375 2542.874755859375 151.2975616455078 174.6566925048828 191.94166564941406 270.1976013183594 249.59632873535156 250.97682189941406 133.66387939453125 155.59576416015625 175.06903076171875 243.47283935546875 214.56906127929688 212.95506286621094 -0.12338737398386002 -0.09846282750368118 -0.1312413066625595 -0.11409037560224533 0.010697499848902225 0.014482114464044571 530995.0 6703035.0
6.0 440.1321105957031 105.0 38.69112014770508 100.9893798828125 479.6058654785156 513.9840698242188 579.6149291992188 251.0 146.5291290283203 189.1589813232422 577.1110229492188 593.7839965820312 563.37939453125 109.0 64.5479507446289 156.29193115234375 681.0669555664062 591.4508666992188 616.3915405273438 69.0 100.0286636352539 290.0547180175781 932.2758178710938 605.1171875 792.5359497070312 1.0 26.64645767211914 264.98126220703125 949.4229736328125 528.1112060546875 931.8134155273438 38.0 43.12833786010742 306.9814758300781 1047.0843505859375 542.5849609375 463.6323547363281 1.0 28.373855590820312 128.0088348388672 848.5975952148438 400.8787536621094 967.30908203125 35.0 41.32932662963867 347.9758605957031 1101.7318115234375 527.9270629882812 677.0918579101562 109.0 172.01951599121094 777.879150390625 1791.924072265625 839.0797729492188 425.75677490234375 59.0 131.44873046875 601.479248046875 1535.9581298828125 663.8173217773438 -0.12267318367958069 -0.9818181991577148 -0.4840148091316223 -0.3034321665763855 0.10490105301141739 -0.1831142008304596 646575.0 6781995.0
6.0 580.2959594726562 366.5935974121094 466.69818115234375 650.96875 775.7681884765625 672.4196166992188 842.4352416992188 698.0663452148438 737.5947875976562 927.5110473632812 1052.27783203125 1045.176513671875 862.0030517578125 736.9083862304688 982.5308227539062 1360.036376953125 1377.726318359375 1076.859375 1186.1435546875 1100.929931640625 1229.4356689453125 1529.473388671875 1593.217041015625 1435.6241455078125 1668.690673828125 1739.8978271484375 1528.7086181640625 1665.0894775390625 1811.3995361328125 2056.1298828125 1815.6951904296875 1932.3616943359375 1686.286865234375 1818.9737548828125 1981.5880126953125 2252.143798828125 1966.497802734375 2196.122314453125 1952.427001953125 2075.1015625 2211.291748046875 2597.01953125 1938.7911376953125 2169.4052734375 1948.2967529296875 2096.275390625 2232.99853515625 2479.01611328125 1335.54052734375 1925.565673828125 2326.009521484375 2857.108154296875 2998.98486328125 2791.63623046875 838.4759521484375 1208.028564453125 1543.5006103515625 1933.8179931640625 2110.2890625 1967.636474609375 0.3864009380340576 0.49975958466529846 0.33334964513778687 0.20833301544189453 0.23197536170482635 0.42199328541755676 516555.0 6716715.0
6.0 489.28173828125 138.63710021972656 49.89203643798828 79.37416076660156 213.76809692382812 355.34503173828125 545.2904663085938 232.30581665039062 136.28451538085938 123.3453369140625 232.66957092285156 450.17376708984375 454.7015380859375 107.40184783935547 54.051918029785156 55.40494155883789 156.44729614257812 353.8625793457031 526.1849365234375 106.46058654785156 81.83990478515625 56.583492279052734 142.42091369628906 298.14312744140625 597.03515625 71.58100128173828 24.879745483398438 27.455684661865234 98.23895263671875 186.7294921875 705.5587158203125 89.89051055908203 27.21136474609375 38.123207092285156 97.72306823730469 208.0205841064453 735.2904052734375 86.35330963134766 22.397850036621094 31.096691131591797 94.00770568847656 219.13946533203125 770.0291748046875 62.718505859375 24.525278091430664 26.014131546020508 90.7640609741211 180.80381774902344 505.97784423828125 105.4419937133789 113.07730865478516 151.8961181640625 256.1263427734375 365.78857421875 308.4116516113281 79.85916137695312 87.11528778076172 110.67282104492188 199.84213256835938 318.0827331542969 0.034859929233789444 -0.22845050692558289 -0.5375087857246399 -0.25693279504776 -0.4432319402694702 -0.2547163963317871 634805.0 6758395.0
6.0 514.878173828125 25.63799476623535 22.92690086364746 58.66602325439453 120.58699035644531 139.26246643066406 650.9083251953125 141.93508911132812 58.07403564453125 109.33938598632812 162.2557373046875 269.4925231933594 427.4120788574219 47.81621170043945 41.32809829711914 59.91819381713867 96.9048843383789 122.28546905517578 418.3568115234375 83.31736755371094 47.610260009765625 74.0379867553711 104.83856201171875 118.42880249023438 286.5841064453125 1.0 11.681265830993652 11.486802101135254 38.698333740234375 21.54006576538086 295.0555114746094 1.0 12.06252670288086 13.20700740814209 37.71816635131836 24.75353240966797 254.712890625 1.0 8.412365913391113 10.329477310180664 28.84841537475586 22.359622955322266 250.62411499023438 1.0 9.695389747619629 6.161144733428955 35.29998779296875 24.19147491455078 186.83729553222656 28.583118438720703 38.31643295288086 52.79066467285156 76.98686981201172 79.13104248046875 160.1542205810547 39.55149841308594 42.74629211425781 58.999053955078125 81.40300750732422 89.53081512451172 -0.362591415643692 -0.9463320970535278 -0.6120554804801941 -0.6843593120574951 -0.6916364431381226 -0.7089409828186035 549545.0 6758935.0
6.0 240.1972198486328 45.550724029541016 205.22909545898438 174.72894287109375 156.71212768554688 452.6091003417969 350.7555236816406 181.25990295410156 370.1117858886719 285.3138732910156 235.13998413085938 675.5521850585938 222.49859619140625 104.08405303955078 239.29501342773438 175.96963500976562 167.81935119628906 546.833740234375 365.5248107910156 161.85154724121094 281.20794677734375 158.64646911621094 220.864013671875 555.3187255859375 288.8303527832031 5.804656505584717 87.80660247802734 55.567230224609375 105.74534606933594 213.10760498046875 335.8428955078125 14.502509117126465 95.08191680908203 57.972843170166016 101.21570587158203 224.1985626220703 165.41876220703125 17.911169052124023 74.825927734375 54.43821334838867 82.73377227783203 180.84088134765625 358.7166748046875 13.604507446289062 72.7789535522461 47.69649887084961 74.70062255859375 141.00469970703125 287.2962646484375 70.6390380859375 110.1998519897461 119.19088745117188 132.16957092285156 158.26986694335938 294.6321105957031 74.20903778076172 104.83422088623047 125.09838104248047 124.2004623413086 162.58509826660156 -0.29668480157852173 -0.7254379391670227 -0.5876680016517639 -0.5465914011001587 -0.4922601580619812 -0.4721859395503998 549965.0 6757085.0
6.0 426.5892333984375 32.3645133972168 78.0348129272461 84.80211639404297 170.20144653320312 115.46048736572266 511.3920593261719 116.44535064697266 136.27008056640625 171.19189453125 256.8888244628906 194.20643615722656 408.8863220214844 87.23303985595703 140.07794189453125 166.2766571044922 240.44139099121094 177.3438262939453 606.150146484375 321.87432861328125 236.4914093017578 239.53366088867188 341.5419006347656 323.7611999511719 702.1337280273438 505.23699951171875 272.3706970214844 201.9846649169922 275.96234130859375 292.6465759277344 755.9984741210938 620.50634765625 306.6424560546875 225.58847045898438 305.6713562011719 344.20965576171875 761.8970336914062 524.6970825195312 343.40863037109375 305.60211181640625 388.8447265625 346.3326721191406 666.0748291015625 616.3976440429688 307.60174560546875 200.4393768310547 291.11871337890625 356.0159912109375 422.0651550292969 273.6272277832031 218.5597381591797 207.0869140625 216.57589721679688 301.59759521484375 293.5470275878906 174.70895385742188 166.22227478027344 182.49769592285156 191.22601318359375 261.83544921875 0.3730613887310028 0.7163070440292358 0.4625079929828644 0.32283341884613037 0.24267879128456116 0.3227406144142151 591555.0 6803645.0
6.0 756.0750122070312 543.1228637695312 517.5571899414062 483.0672607421875 488.499267578125 787.4209594726562 1172.4947509765625 929.0713500976562 858.523193359375 801.553955078125 811.697509765625 1115.7762451171875 1567.3709716796875 1072.9351806640625 956.4315185546875 780.9442138671875 742.0540161132812 1277.7181396484375 1800.2867431640625 1136.7318115234375 1028.4166259765625 875.8284301757812 1029.423828125 1472.063232421875 1293.06103515625 560.1319580078125 499.4070739746094 394.54034423828125 579.9283447265625 991.3403930664062 1375.9234619140625 590.2100830078125 475.33941650390625 337.92462158203125 615.4976196289062 1038.4068603515625 1081.936279296875 466.2342529296875 406.3680419921875 353.74639892578125 539.7843017578125 875.7277221679688 908.7139282226562 376.806884765625 294.89874267578125 225.9800567626953 356.5949401855469 793.9849243164062 267.29193115234375 275.875732421875 232.49395751953125 350.9825744628906 317.2459411621094 319.52154541015625 156.81094360351562 197.38198852539062 162.66761779785156 260.4292907714844 224.49415588378906 244.8175048828125 -0.19816003739833832 -0.40724095702171326 -0.4068135619163513 -0.3727942705154419 -0.16165009140968323 -0.22336596250534058 560725.0 6748895.0
6.0 619.992431640625 225.44932556152344 225.8597869873047 348.4490051269531 385.0 739.8641967773438 931.2510986328125 420.9774169921875 444.2973327636719 587.80126953125 608.0 1003.0584716796875 783.0540771484375 282.6612854003906 259.371337890625 367.495361328125 416.0000305175781 948.7708740234375 902.2127075195312 386.8006591796875 420.14739990234375 334.89520263671875 341.0 964.0620727539062 457.13482666015625 124.64669036865234 136.11563110351562 123.97355651855469 148.99998474121094 550.349365234375 489.7749938964844 116.77021789550781 150.3987579345703 125.45264434814453 125.99998474121094 557.3908081054688 409.17864990234375 138.80397033691406 133.7786102294922 108.99095916748047 116.99998474121094 542.1651611328125 333.86187744140625 71.55436706542969 100.10084533691406 83.03451538085938 107.99999237060547 376.0479736328125 254.9090576171875 153.12661743164062 147.46144104003906 175.8595428466797 200.99998474121094 344.8624267578125 195.3560028076172 122.64668273925781 135.56080627441406 165.68557739257812 168.99998474121094 249.89157104492188 -0.36768221855163574 -0.3384275734424591 -0.3615841269493103 -0.5462614893913269 -0.5609756708145142 -0.3062134385108948 550105.0 6752935.0
